timestamp,metadata.location,metadata.sensorId,temperature.celcius,_id
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,24.9583,677ceba4bafc1a5dacbd4c09
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,24.9754,677ceba4bafc1a5dacbd4c03
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,24.9545,677ceba4bafc1a5dacbd4c0f
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,25.0286,677ceba4bafc1a5dacbd4c12
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,25.1334,677ceba4bafc1a5dacbd4c06
2025-01-07T08:53:58.000Z,3P_2HP,TEMPERATURE001,24.8737,677ceba4bafc1a5dacbd4c0c
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,25.0095,677ceba5bafc1a5dacbd4c21
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.836,677ceba6bafc1a5dacbd4c30
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,25.1658,677ceba5bafc1a5dacbd4c24
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,25.0295,677ceba5bafc1a5dacbd4c2d
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.873,677ceba5bafc1a5dacbd4c27
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.9781,677ceba5bafc1a5dacbd4c2a
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.8209,677ceba5bafc1a5dacbd4c15
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.9196,677ceba5bafc1a5dacbd4c18
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.886,677ceba5bafc1a5dacbd4c1b
2025-01-07T08:53:59.000Z,3P_2HP,TEMPERATURE001,24.944,677ceba5bafc1a5dacbd4c1e
2025-01-07T08:54:00.000Z,3P_2HP,TEMPERATURE001,25.1432,677ceba7bafc1a5dacbd4c45
2025-01-07T08:54:00.000Z,3P_2HP,TEMPERATURE001,24.8711,677ceba7bafc1a5dacbd4c4e
2025-01-07T08:54:00.000Z,3P_2HP,TEMPERATURE001,25.0096,677ceba7bafc1a5dacbd4c48
2025-01-07T08:54:00.000Z,3P_2HP,TEMPERATURE001,25.0845,677ceba7bafc1a5dacbd4c4b
